"id","prov_id","name"
"31.01","31","Kab. Kepulauan Seribu"
"34.03","34","Kab. Gunung Kidul"
"11.08","11","Kab. Aceh Utara"
"36.01","36","Kab. Pandeglang"
"11.71","11","Kota Banda Aceh"
"11.04","11","Kab. Aceh Tengah"
"51.03","51","Kab. Badung"
"32.74","32","Kota Cirebon"
"81.09","81","Kab. Buru Selatan"
"33.21","33","Kab. Demak"
"17.09","17","Kab. Bengkulu Tengah"
"11.09","11","Kab. Simeulue"
"15.05","15","Kab. Muaro Jambi"
"11.02","11","Kab. Aceh Tenggara"
"15.71","15","Kota Jambi"
"17.05","17","Kab. Seluma"
"51.07","51","Kab. Karangasem"
"34.71","34","Kota Yogyakarta"
"11.12","11","Kab. Aceh Barat Daya"
"15.72","15","Kota Sungaipenuh"
"51.71","51","Kota Denpasar"
"11.01","11","Kab. Aceh Selatan"
"11.17","11","Kab. Bener Meriah"
"51.06","51","Kab. Bangli"
"36.02","36","Kab. Lebak"
"51.02","51","Kab. Tabanan"
"36.04","36","Kab. Serang"
"35.06","35","Kab. Kediri"
"11.72","11","Kota Sabang"
"11.11","11","Kab. Bireuen"
"11.18","11","Kab. Pidie Jaya"
"11.06","11","Kab. Aceh Besar"
"33.29","33","Kab. Brebes"
"11.16","11","Kab. Aceh Tamiang"
"11.13","11","Kab. Gayo Lues"
"33.73","33","Kota Salatiga"
"11.73","11","Kota Lhokseumawe"
"32.08","32","Kab. Kuningan"
"51.01","51","Kab. Jembrana"
"33.09","33","Kab. Boyolali"
"11.74","11","Kota Langsa"
"31.72","31","Kota Jakarta Utara"
"11.07","11","Kab. Pidie"
"51.04","51","Kab. Gianyar"
"32.04","32","Kab. Bandung"
"36.03","36","Kab. Tangerang"
"36.72","36","Kota Cilegon"
"11.75","11","Kota Subulussalam"
"32.13","32","Kab. Subang"
"36.73","36","Kota Serang"
"32.15","32","Kab. Karawang"
"34.02","34","Kab. Bantul"
"34.01","34","Kab. Kulon Progo"
"32.79","32","Kota Banjar"
"17.04","17","Kab. Kaur"
"33.02","33","Kab. Banyumas"
"36.74","36","Kota Tangerang Selatan"
"51.08","51","Kab. Buleleng"
"17.01","17","Kab. Bengkulu Selatan"
"32.77","32","Kota Cimahi"
"51.05","51","Kab. Klungkung"
"17.71","17","Kota Bengkulu"
"32.73","32","Kota Bandung"
"31.73","31","Kota Jakarta Barat"
"17.03","17","Kab. Bengkulu Utara"
"75.04","75","Kab. Pohuwato"
"17.06","17","Kab. Muko Muko"
"17.02","17","Kab. Rejang Lebong"
"31.74","31","Kota Jakarta Selatan"
"75.03","75","Kab. Bone Bolango"
"75.01","75","Kab. Gorontalo"
"34.04","34","Kab. Sleman"
"32.72","32","Kota Sukabumi"
"32.05","32","Kab. Garut"
"31.71","31","Kota Jakarta Pusat"
"18.07","18","Kab. Lampung Timur"
"31.75","31","Kota Jakarta Timur"
"75.02","75","Kab. Boalemo"
"15.04","15","Kab. Batang Hari"
"75.05","75","Kab. Gorontalo Utara"
"81.07","81","Kab. Kepulauan Aru"
"32.09","32","Kab. Cirebon"
"32.18","32","Kab. Pangandaran"
"15.06","15","Kab. Tanjung Jabung Barat"
"75.71","75","Kota Gorontalo"
"15.01","15","Kab. Kerinci"
"32.17","32","Kab. Bandung Barat"
"15.02","15","Kab. Merangin"
"32.07","32","Kab. Ciamis"
"15.03","15","Kab. Sarolangun"
"15.07","15","Kab. Tanjung Jabung Timur"
"15.09","15","Kab. Tebo"
"32.75","32","Kota Bekasi"
"15.08","15","Kab. Bungo"
"32.76","32","Kota Depok"
"32.10","32","Kab. Majalengka"
"32.16","32","Kab. Bekasi"
"32.12","32","Kab. Indramayu"
"32.03","32","Kab. Cianjur"
"33.04","33","Kab. Banjarnegara"
"33.25","33","Kab. Batang"
"33.01","33","Kab. Cilacap"
"33.20","33","Kab. Jepara"
"32.02","32","Kab. Sukabumi"
"33.15","33","Kab. Grobogan"
"81.08","81","Kab. Maluku Barat Daya"
"32.11","32","Kab. Sumedang"
"32.78","32","Kota Tasikmalaya"
"33.05","33","Kab. Kebumen"
"33.17","33","Kab. Rembang"
"18.11","18","Kab. Mesuji"
"33.13","33","Kab. Karanganyar"
"33.22","33","Kab. Semarang"
"33.11","33","Kab. Sukoharjo"
"33.14","33","Kab. Sragen"
"35.10","35","Kab. Banyuwangi"
"33.76","33","Kota Tegal"
"35.05","35","Kab. Blitar"
"35.79","35","Kota Batu"
"18.13","18","Kab. Pesisir Barat"
"81.06","81","Kab. Seram Bagian Barat"
"33.28","33","Kab. Tegal"
"82.05","82","Kab. Kepulauan Sula"
"35.24","35","Kab. Lamongan"
"91.07","91","Kab. Puncak Jaya"
"61.12","61","Kab. Kubu Raya"
"35.73","35","Kota Malang"
"35.22","35","Kab. Bojonegoro"
"62.05","62","Kab. Barito Utara"
"35.08","35","Kab. Lumajang"
"61.05","61","Kab. Sintang"
"92.11","92","Kab. Manokwari Selatan"
"35.11","35","Kab. Bondowoso"
"35.77","35","Kota Madiun"
"35.25","35","Kab. Gresik"
"35.20","35","Kab. Magetan"
"35.01","35","Kab. Pacitan"
"62.71","62","Kota Palangka Raya"
"81.71","81","Kota Ambon"
"35.09","35","Kab. Jember"
"35.19","35","Kab. Madiun"
"64.07","64","Kab. Kutai Barat"
"35.16","35","Kab. Mojokerto"
"35.03","35","Kab. Trenggalek"
"33.18","33","Kab. Pati"
"35.26","35","Kab. Bangkalan"
"33.08","33","Kab. Magelang"
"33.75","33","Kota Pekalongan"
"62.04","62","Kab. Barito Selatan"
"33.26","33","Kab. Pekalongan"
"33.72","33","Kota Surakarta"
"62.03","62","Kab. Kapuas"
"61.07","61","Kab. Bengkayang"
"61.01","61","Kab. Sambas"
"35.04","35","Kab. Tulungagung"
"33.71","33","Kota Magelang"
"33.74","33","Kota Semarang"
"35.07","35","Kab. Malang"
"35.71","35","Kota Kediri"
"63.71","63","Kota Banjarmasin"
"35.21","35","Kab. Ngawi"
"35.17","35","Kab. Jombang"
"63.10","63","Kab. Tanah Bumbu"
"61.10","61","Kab. Melawi"
"61.06","61","Kab. Kapuas Hulu"
"91.27","91","Kab. Intan Jaya"
"35.27","35","Kab. Sampang"
"35.76","35","Kota Mojokerto"
"65.71","65","Kota Tarakan"
"35.13","35","Kab. Probolinggo"
"33.24","33","Kab. Kendal"
"61.11","61","Kab. Kayong Utara"
"33.03","33","Kab. Purbalingga"
"35.14","35","Kab. Pasuruan"
"63.02","63","Kab. Kotabaru"
"33.27","33","Kab. Pemalang"
"63.09","63","Kab. Tabalong"
"82.71","82","Kota Ternate"
"35.28","35","Kab. Pamekasan"
"33.07","33","Kab. Wonosobo"
"35.23","35","Kab. Tuban"
"35.75","35","Kota Pasuruan"
"61.04","61","Kab. Ketapang"
"35.02","35","Kab. Ponorogo"
"35.74","35","Kota Probolinggo"
"61.08","61","Kab. Landak"
"61.02","61","Kab. Mempawah"
"61.71","61","Kota Pontianak"
"61.09","61","Kab. Sekadau"
"63.07","63","Kab. Hulu Sungai Tengah"
"91.25","91","Kab. Puncak"
"91.15","91","Kab. Waropen"
"35.15","35","Kab. Sidoarjo"
"62.09","62","Kab. Lamandau"
"61.03","61","Kab. Sanggau"
"18.12","18","Kab. Tulang Bawang Barat"
"35.12","35","Kab. Situbondo"
"35.29","35","Kab. Sumenep"
"62.13","62","Kab. Barito Timur"
"63.11","63","Kab. Balangan"
"63.72","63","Kota Banjarbaru"
"63.03","63","Kab. Banjar"
"63.06","63","Kab. Hulu Sungai Selatan"
"63.04","63","Kab. Barito Kuala"
"62.08","62","Kab. Sukamara"
"64.03","64","Kab. Berau"
"62.10","62","Kab. Gunung Mas"
"62.06","62","Kab. Katingan"
"62.02","62","Kab. Kotawaringin Timur"
"91.13","91","Kab. Yahukimo"
"62.01","62","Kab. Kotawaringin Barat"
"63.08","63","Kab. Hulu Sungai Utara"
"64.71","64","Kota Balikpapan"
"62.07","62","Kab. Seruyan"
"62.12","62","Kab. Murung Raya"
"82.04","82","Kab. Halmahera Selatan"
"65.01","65","Kab. Bulungan"
"65.04","65","Kab. Tana Tidung"
"65.02","65","Kab. Malinau"
"14.03","14","Kab. Bengkalis"
"64.74","64","Kota Bontang"
"65.03","65","Kab. Nunukan"
"18.09","18","Kab. Pesawaran"
"53.04","53","Kab. Belu"
"81.04","81","Kab. Buru"
"18.06","18","Kab. Tanggamus"
"81.01","81","Kab. Maluku Tengah"
"18.10","18","Kab. Pringsewu"
"81.05","81","Kab. Seram Bagian Timur"
"52.05","52","Kab. Dompu"
"52.72","52","Kota Bima"
"52.02","52","Kab. Lombok Tengah"
"82.03","82","Kab. Halmahera Utara"
"52.03","52","Kab. Lombok Timur"
"52.08","52","Kab. Lombok Utara"
"52.71","52","Kota Mataram"
"12.11","12","Kab. Dairi"
"82.08","82","Kab. Pulau Taliabu"
"52.04","52","Kab. Sumbawa"
"91.18","91","Kab. Asmat"
"91.16","91","Kab. Boven Digoel"
"13.07","13","Kab. Lima Puluh Kota"
"91.12","91","Kab. Pegunungan Bintang"
"53.02","53","Kab. Timor Tengah Selatan"
"92.03","92","Kab. Fakfak"
"91.10","91","Kab. Sarmi"
"64.01","64","Kab. Paser"
"64.72","64","Kota Samarinda"
"82.07","82","Kab. Pulau Morotai"
"73.02","73","Kab. Bulukumba"
"19.05","19","Kab. Bangka Barat"
"53.03","53","Kab. Timor Tengah Utara"
"91.23","91","Kab. Lanny Jaya"
"91.14","91","Kab. Tolikara"
"91.01","91","Kab. Merauke"
"76.05","76","Kab. Majene"
"91.19","91","Kab. Supiori"
"21.01","21","Kab. Bintan"
"19.03","19","Kab. Bangka Selatan"
"53.17","53","Kab. Sumba Tengah"
"92.12","92","Kab. Pegunungan Arfak"
"53.10","53","Kab. Manggarai"
"91.22","91","Kab. Yalimo"
"18.71","18","Kota Bandar Lampung"
"18.04","18","Kab. Lampung Barat"
"14.09","14","Kab. Kuantan Singingi"
"91.08","91","Kab. Paniai"
"91.04","91","Kab. Nabire"
"53.18","53","Kab. Sumba Barat Daya"
"14.02","14","Kab. Indragiri Hulu"
"53.20","53","Kab. Sabu Raijua"
"21.04","21","Kab. Lingga"
"91.06","91","Kab. Biak Numfor"
"64.11","64","Kab. Mahakam Ulu"
"64.09","64","Kab. Penajam Paser Utara"
"18.01","18","Kab. Lampung Selatan"
"92.10","92","Kab. Maybrat"
"53.01","53","Kab. Kupang"
"19.02","19","Kab. Belitung"
"92.09","92","Kab. Tambrauw"
"82.02","82","Kab. Halmahera Tengah"
"64.08","64","Kab. Kutai Timur"
"81.02","81","Kab. Maluku Tenggara"
"18.02","18","Kab. Lampung Tengah"
"14.71","14","Kota Pekanbaru"
"92.05","92","Kab. Raja Ampat"
"82.06","82","Kab. Halmahera Timur"
"19.06","19","Kab. Belitung Timur"
"21.72","21","Kota Tanjung Pinang"
"14.06","14","Kab. Rokan Hulu"
"14.72","14","Kota Dumai"
"53.15","53","Kab. Manggarai Barat"
"92.01","92","Kab. Sorong"
"52.06","52","Kab. Bima"
"21.03","21","Kab. Natuna"
"53.12","53","Kab. Sumba Barat"
"18.08","18","Kab. Way Kanan"
"21.71","21","Kota Batam"
"92.71","92","Kota Sorong"
"53.71","53","Kota Kupang"
"91.71","91","Kota Jayapura"
"53.14","53","Kab. Rote Ndao"
"52.01","52","Kab. Lombok Barat"
"53.13","53","Kab. Lembata"
"91.21","91","Kab. Mamberamo Tengah"
"91.26","91","Kab. Dogiyai"
"81.72","81","Kota Tual"
"19.01","19","Kab. Bangka"
"81.03","81","Kab. Maluku Tenggara Barat"
"18.05","18","Kab. Tulang Bawang"
"91.20","91","Kab. Mamberamo Raya"
"53.19","53","Kab. Manggarai Timur"
"14.04","14","Kab. Indragiri Hilir"
"82.72","82","Kota Tidore Kepulauan"
"91.28","91","Kab. Deiyai"
"53.08","53","Kab. Ende"
"73.73","73","Kota Palopo"
"14.10","14","Kab. Kepulauan Meranti"
"53.06","53","Kab. Flores Timur"
"53.16","53","Kab. Nagekeo"
"21.05","21","Kab. Kepulauan Anambas"
"91.11","91","Kab. Keerom"
"91.05","91","Kab. Kepulauan Yapen"
"19.71","19","Kota Pangkal Pinang"
"91.02","91","Kab. Jayawijaya"
"71.06","71","Kab. Minahasa Utara"
"53.09","53","Kab. Ngada"
"91.09","91","Kab. Mimika"
"91.24","91","Kab. Nduga"
"21.02","21","Kab. Karimun"
"52.07","52","Kab. Sumbawa Barat"
"53.11","53","Kab. Sumba Timur"
"92.04","92","Kab. Sorong Selatan"
"14.08","14","Kab. Siak"
"76.06","76","Kab. Mamuju Tengah"
"14.01","14","Kab. Kampar"
"92.07","92","Kab. Teluk Wondama"
"92.06","92","Kab. Teluk Bintuni"
"72.09","72","Kab. Tojo Una-Una"
"14.05","14","Kab. Pelalawan"
"14.07","14","Kab. Rokan Hilir"
"76.02","76","Kab. Mamuju"
"73.11","73","Kab. Barru"
"76.03","76","Kab. Mamasa"
"76.01","76","Kab. Mamuju Utara"
"73.03","73","Kab. Bantaeng"
"76.04","76","Kab. Polewali Mandar"
"73.06","73","Kab. Gowa"
"73.16","73","Kab. Enrekang"
"73.01","73","Kab. Kepulauan Selayar"
"73.22","73","Kab. Luwu Utara"
"73.04","73","Kab. Jeneponto"
"73.17","73","Kab. Luwu"
"73.71","73","Kota Makassar"
"73.24","73","Kab. Luwu Timur"
"71.07","71","Kab. Minahasa Tenggara"
"72.04","72","Kab. Toli-Toli"
"71.05","71","Kab. Minahasa Selatan"
"13.77","13","Kota Pariaman"
"13.71","13","Kota Padang"
"13.76","13","Kota Payakumbuh"
"16.11","16","Kab. Empat Lawang"
"13.10","13","Kab. Dharmasraya"
"16.07","16","Kab. Banyuasin"
"13.72","13","Kota Solok"
"16.03","16","Kab. Muara Enim"
"13.03","13","Kab. Sijunjung"
"16.05","16","Kab. Musi Rawas"
"16.13","16","Kab. Musi Rawas Utara"
"13.11","13","Kab. Solok Selatan"
"12.17","12","Kab. Samosir"
"12.74","12","Kota Tanjung Balai"
"16.01","16","Kab. Ogan Komering Ulu"
"12.22","12","Kab. Labuhanbatu Selatan"
"16.73","16","Kota Lubuk Linggau"
"13.73","13","Kota Sawah Lunto"
"74.14","74","Kab. Buton Tengah"
"12.10","12","Kab. Labuhanbatu"
"71.01","71","Kab. Bolaang Mongondow"
"74.07","74","Kab. Wakatobi"
"12.03","12","Kab. Tapanuli Selatan"
"74.02","74","Kab. Konawe"
"74.01","74","Kab. Kolaka"
"74.10","74","Kab. Buton Utara"
"16.10","16","Kab. Ogan Ilir"
"73.10","73","Kab. Pangkajene Kepulauan"
"16.04","16","Kab. Lahat"
"72.07","72","Kab. Banggai Kepulauan"
"74.04","74","Kab. Buton"
"13.01","13","Kab. Pesisir Selatan"
"74.13","74","Kab. Muna Barat"
"12.07","12","Kab. Deli Serdang"
"72.06","72","Kab. Morowali"
"71.08","71","Kab. Bolaang Mongondow Utara"
"73.07","73","Kab. Sinjai"
"72.02","72","Kab. Poso"
"13.75","13","Kota Bukittinggi"
"74.11","74","Kab. Kolaka Timur"
"74.03","74","Kab. Muna"
"74.05","74","Kab. Konawe Selatan"
"12.16","12","Kab. Humbang Hasundutan"
"71.72","71","Kota Bitung"
"71.73","71","Kota Tomohon"
"16.08","16","Kab. Ogan Komering Ulu Timur"
"74.08","74","Kab. Kolaka Utara"
"12.18","12","Kab. Serdang Bedagai"
"72.03","72","Kab. Donggala"
"16.02","16","Kab. Ogan Komering Ilir"
"73.26","73","Kab. Toraja Utara"
"73.18","73","Kab. Tana Toraja"
"71.11","71","Kab. Bolaang Mongondow Selatan"
"71.74","71","Kota Kotamobagu"
"16.06","16","Kab. Musi Banyuasin"
"73.15","73","Kab. Pinrang"
"72.10","72","Kab. Sigi"
"13.08","13","Kab. Pasaman"
"11.03","11","Kab. Aceh Timur"
"72.01","72","Kab. Banggai"
"74.71","74","Kota Kendari"
"71.04","71","Kab. Kepulauan Talaud"
"12.05","12","Kab. Langkat"
"74.12","74","Kab. Konawe Kepulauan"
"74.15","74","Kab. Buton Selatan"
"16.74","16","Kota Prabumulih"
"71.02","71","Kab. Minahasa"
"74.09","74","Kab. Konawe Utara"
"13.12","13","Kab. Pasaman Barat"
"16.71","16","Kota Palembang"
"12.19","12","Kab. Batu Bara"
"71.10","71","Kab. Bolaang Mongondow Timur"
"71.09","71","Kab. Kepulauan Siau Tagulandang Biaro (Sitaro)"
"12.06","12","Kab. Karo"
"71.71","71","Kota Manado"
"16.72","16","Kota Pagar Alam"
"16.12","16","Kab. Penukal Abab Lematang Ilir"
"13.02","13","Kab. Solok"
"12.23","12","Kab. Labuhanbatu Utara"
"13.74","13","Kota Padang Panjang"
"12.09","12","Kab. Asahan"
"74.06","74","Kab. Bombana"
"13.05","13","Kab. Padang Pariaman"
"73.09","73","Kab. Maros"
"13.06","13","Kab. Agam"
"12.78","12","Kota Gunungsitoli"
"12.75","12","Kota Binjai"
"13.04","13","Kab. Tanah Datar"
"16.09","16","Kab. Ogan Komering Ulu Selatan"
"12.76","12","Kota Tebing Tinggi"
"72.11","72","Kab. Banggai Laut"
"72.08","72","Kab. Parigi Moutong"
"71.03","71","Kab. Kepulauan Sangihe"
"12.73","12","Kota Sibolga"
"32.71","32","Kota Bogor"
"63.01","63","Kab. Tanah Laut"
"11.05","11","Kab. Aceh Barat"
"92.02","92","Kab. Manokwari"
"72.71","72","Kota Palu"
"33.12","33","Kab. Wonogiri"
"33.10","33","Kab. Klaten"
"73.05","73","Kab. Takalar"
"35.72","35","Kota Blitar"
"11.10","11","Kab. Aceh Singkil"
"73.72","73","Kota Parepare"
"17.07","17","Kab. Lebong"
"73.12","73","Kab. Soppeng"
"36.71","36","Kota Tangerang"
"73.13","73","Kab. Wajo"
"73.14","73","Kab. Sidenreng Rappang"
"72.12","72","Kab. Morowali Utara"
"61.72","61","Kota Singkawang"
"72.05","72","Kab. Buol"
"63.05","63","Kab. Tapin"
"12.08","12","Kab. Simalungun"
"12.15","12","Kab. Pakpak Bharat"
"12.21","12","Kab. Padang Lawas"
"64.02","64","Kab. Kutai Kartanegara"
"32.14","32","Kab. Purwakarta"
"12.04","12","Kab. Nias"
"17.08","17","Kab. Kepahiang"
"33.06","33","Kab. Purworejo"
"12.24","12","Kab. Nias Utara"
"12.20","12","Kab. Padang Lawas Utara"
"62.11","62","Kab. Pulang Pisau"
"12.72","12","Kota Pematang Siantar"
"19.04","19","Kab. Bangka Tengah"
"12.14","12","Kab. Nias Selatan"
"35.18","35","Kab. Nganjuk"
"11.15","11","Kab. Nagan Raya"
"32.06","32","Kab. Tasikmalaya"
"11.14","11","Kab. Aceh Jaya"
"33.16","33","Kab. Blora"
"33.19","33","Kab. Kudus"
"74.72","74","Kota Bau-Bau"
"53.05","53","Kab. Alor"
"12.25","12","Kab. Nias Barat"
"35.78","35","Kota Surabaya"
"32.01","32","Kab. Bogor"
"92.08","92","Kab. Kaimana"
"73.08","73","Kab. Bone"
"18.72","18","Kota Metro"
"12.71","12","Kota Medan"
"18.03","18","Kab. Lampung Utara"
"82.01","82","Kab. Halmahera Barat"
"33.23","33","Kab. Temanggung"
"53.21","53","Kab. Malaka"
"12.02","12","Kab. Tapanuli Utara"
"12.12","12","Kab. Toba Samosir"
"12.77","12","Kota Padang Sidempuan"
"13.09","13","Kab. Kepulauan Mentawai"
"53.07","53","Kab. Sikka"
"12.01","12","Kab. Tapanuli Tengah"
"12.13","12","Kab. Mandailing Natal"
"91.03","91","Kab. Jayapura"
"91.17","91","Kab. Mappi"
